Link,Price_BYN,Price_USD,Model,City,Year,Type_transmission,Vol_drive,Type_fuel,Km,Type_car
https://cars.av.by/audi/a4/101370789,79758,29900,Audi A4 B9,Минск,2017,автомат,2.0, бензин,49100,седан
https://cars.av.by/audi/a4/101065889,31210,11700,Audi A4 B8,Витебск,2010,автомат,2.0, бензин,220000,седан
https://cars.av.by/audi/a4/101374244,79225,29700,Audi A4 B9,Брест,2018,автомат,2.0, бензин,97000,седан
https://cars.av.by/audi/a4/100944946,13871,5200,Audi A4 B6,Малорита,2001,автомат,2.0, бензин,295000,седан
https://cars.av.by/audi/a4/101304874,36011,13500,Audi A4 B8,Барановичи,2010,автомат,2.0, дизель,330000,универсал
https://cars.av.by/audi/a4/101343969,11737,4400,Audi A4 B6,Барановичи,2002,механика,1.8, бензин,460000,седан
https://cars.av.by/audi/a4/101066044,9336,3500,Audi A4 B5,Молодечно,1997,автомат,1.8, бензин (пропан-бутан),385000,универсал
https://cars.av.by/audi/a4/101112031,25341,9500,Audi A4 B8,Лунинец,2008,автомат,1.8, бензин,215600,седан
https://cars.av.by/audi/a4/101382644,11337,4250,Audi A4 B5,Минск,1997,механика,1.8, бензин,344080,седан
https://cars.av.by/audi/a4/101371627,36545,13700,Audi A4 B8 · Рестайлинг,Минск,2013,автомат,1.8, бензин,233000,седан
https://cars.av.by/audi/a4/101123690,20540,7700,Audi A4 B7,Минск,2005,автомат,2.0, бензин,325000,седан
https://cars.av.by/audi/a4/101160606,32010,12000,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,134000,седан
https://cars.av.by/audi/a4/101316600,16272,6100,Audi A4 B6,Полоцк,2001,механика,1.9, дизель,310000,седан
https://cars.av.by/audi/a4/101390659,24541,9200,Audi A4 B8,Гродно,2008,автомат,1.8, бензин,182000,седан
https://cars.av.by/audi/a4/101308758,11470,4300,Audi A4 B5,Лепель,1998,механика,1.8, бензин,440000,универсал
https://cars.av.by/audi/a4/101381432,43480,16300,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,215000,седан
https://cars.av.by/audi/a4/100651159,21340,8000,Audi A4 B8,Минск,2008,автомат,1.8, бензин,289000,универсал
https://cars.av.by/audi/a4/100828225,30676,11500,Audi A4 B8,Минск,2010,автомат,3.0, дизель,250000,седан
https://cars.av.by/audi/a4/101149797,20807,7800,Audi A4 B7,Дубровно,2007,автомат,2.0, дизель,210000,седан
https://cars.av.by/audi/a4/101390562,16272,6100,Audi A4 B6,Орша,2003,автомат,1.8, бензин,257000,седан
https://cars.av.by/audi/a4/101126263,7469,2800,Audi A4 B5,Гомель,1997,механика,1.6, бензин,465500,седан
https://cars.av.by/audi/a4/101371955,12004,4500,Audi A4 B5,Климовичи,1998,механика,1.9, дизель,300000,универсал
https://cars.av.by/audi/a4/101317926,24808,9300,Audi A4 B8,Марьина горка,2008,автомат,1.8, бензин,188000,седан
https://cars.av.by/audi/a4/101390505,20537,7699,Audi A4 B7,Минск,2008,автомат,2.0, бензин,206638,седан
https://cars.av.by/audi/a4/101300311,31210,11700,Audi A4 B8 · Рестайлинг,Минск,2012,автомат,1.8, бензин,182800,седан
https://cars.av.by/audi/a4/101370789,79758,29900,Audi A4 B9,Минск,2017,автомат,2.0, бензин,49100,седан
https://cars.av.by/audi/a4/101065889,31210,11700,Audi A4 B8,Витебск,2010,автомат,2.0, бензин,220000,седан
https://cars.av.by/audi/a4/101374244,79225,29700,Audi A4 B9,Брест,2018,автомат,2.0, бензин,97000,седан
https://cars.av.by/audi/a4/100944946,13871,5200,Audi A4 B6,Малорита,2001,автомат,2.0, бензин,295000,седан
https://cars.av.by/audi/a4/101304874,36011,13500,Audi A4 B8,Барановичи,2010,автомат,2.0, дизель,330000,универсал
https://cars.av.by/audi/a4/101343969,11737,4400,Audi A4 B6,Барановичи,2002,механика,1.8, бензин,460000,седан
https://cars.av.by/audi/a4/101066044,9336,3500,Audi A4 B5,Молодечно,1997,автомат,1.8, бензин (пропан-бутан),385000,универсал
https://cars.av.by/audi/a4/101112031,25341,9500,Audi A4 B8,Лунинец,2008,автомат,1.8, бензин,215600,седан
https://cars.av.by/audi/a4/101382644,11337,4250,Audi A4 B5,Минск,1997,механика,1.8, бензин,344080,седан
https://cars.av.by/audi/a4/101371627,36545,13700,Audi A4 B8 · Рестайлинг,Минск,2013,автомат,1.8, бензин,233000,седан
https://cars.av.by/audi/a4/101123690,20540,7700,Audi A4 B7,Минск,2005,автомат,2.0, бензин,325000,седан
https://cars.av.by/audi/a4/101160606,32010,12000,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,134000,седан
https://cars.av.by/audi/a4/101316600,16272,6100,Audi A4 B6,Полоцк,2001,механика,1.9, дизель,310000,седан
https://cars.av.by/audi/a4/101390659,24541,9200,Audi A4 B8,Гродно,2008,автомат,1.8, бензин,182000,седан
https://cars.av.by/audi/a4/101308758,11470,4300,Audi A4 B5,Лепель,1998,механика,1.8, бензин,440000,универсал
https://cars.av.by/audi/a4/101381432,43480,16300,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,215000,седан
https://cars.av.by/audi/a4/100651159,21340,8000,Audi A4 B8,Минск,2008,автомат,1.8, бензин,289000,универсал
https://cars.av.by/audi/a4/100828225,30676,11500,Audi A4 B8,Минск,2010,автомат,3.0, дизель,250000,седан
https://cars.av.by/audi/a4/101149797,20807,7800,Audi A4 B7,Дубровно,2007,автомат,2.0, дизель,210000,седан
https://cars.av.by/audi/a4/101390562,16272,6100,Audi A4 B6,Орша,2003,автомат,1.8, бензин,257000,седан
https://cars.av.by/audi/a4/101126263,7469,2800,Audi A4 B5,Гомель,1997,механика,1.6, бензин,465500,седан
https://cars.av.by/audi/a4/101371955,12004,4500,Audi A4 B5,Климовичи,1998,механика,1.9, дизель,300000,универсал
https://cars.av.by/audi/a4/101317926,24808,9300,Audi A4 B8,Марьина горка,2008,автомат,1.8, бензин,188000,седан
https://cars.av.by/audi/a4/101390505,20537,7699,Audi A4 B7,Минск,2008,автомат,2.0, бензин,206638,седан
https://cars.av.by/audi/a4/101300311,31210,11700,Audi A4 B8 · Рестайлинг,Минск,2012,автомат,1.8, бензин,182800,седан
https://cars.av.by/audi/a4/101370789,79758,29900,Audi A4 B9,Минск,2017,автомат,2.0, бензин,49100,седан
https://cars.av.by/audi/a4/101065889,31210,11700,Audi A4 B8,Витебск,2010,автомат,2.0, бензин,220000,седан
https://cars.av.by/audi/a4/101374244,79225,29700,Audi A4 B9,Брест,2018,автомат,2.0, бензин,97000,седан
https://cars.av.by/audi/a4/100944946,13871,5200,Audi A4 B6,Малорита,2001,автомат,2.0, бензин,295000,седан
https://cars.av.by/audi/a4/101304874,36011,13500,Audi A4 B8,Барановичи,2010,автомат,2.0, дизель,330000,универсал
https://cars.av.by/audi/a4/101343969,11737,4400,Audi A4 B6,Барановичи,2002,механика,1.8, бензин,460000,седан
https://cars.av.by/audi/a4/101066044,9336,3500,Audi A4 B5,Молодечно,1997,автомат,1.8, бензин (пропан-бутан),385000,универсал
https://cars.av.by/audi/a4/101112031,25341,9500,Audi A4 B8,Лунинец,2008,автомат,1.8, бензин,215600,седан
https://cars.av.by/audi/a4/101382644,11337,4250,Audi A4 B5,Минск,1997,механика,1.8, бензин,344080,седан
https://cars.av.by/audi/a4/101371627,36545,13700,Audi A4 B8 · Рестайлинг,Минск,2013,автомат,1.8, бензин,233000,седан
https://cars.av.by/audi/a4/101123690,20540,7700,Audi A4 B7,Минск,2005,автомат,2.0, бензин,325000,седан
https://cars.av.by/audi/a4/101160606,32010,12000,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,134000,седан
https://cars.av.by/audi/a4/101316600,16272,6100,Audi A4 B6,Полоцк,2001,механика,1.9, дизель,310000,седан
https://cars.av.by/audi/a4/101390659,24541,9200,Audi A4 B8,Гродно,2008,автомат,1.8, бензин,182000,седан
https://cars.av.by/audi/a4/101308758,11470,4300,Audi A4 B5,Лепель,1998,механика,1.8, бензин,440000,универсал
https://cars.av.by/audi/a4/101381432,43480,16300,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,215000,седан
https://cars.av.by/audi/a4/100651159,21340,8000,Audi A4 B8,Минск,2008,автомат,1.8, бензин,289000,универсал
https://cars.av.by/audi/a4/100828225,30676,11500,Audi A4 B8,Минск,2010,автомат,3.0, дизель,250000,седан
https://cars.av.by/audi/a4/101149797,20807,7800,Audi A4 B7,Дубровно,2007,автомат,2.0, дизель,210000,седан
https://cars.av.by/audi/a4/101390562,16272,6100,Audi A4 B6,Орша,2003,автомат,1.8, бензин,257000,седан
https://cars.av.by/audi/a4/101126263,7469,2800,Audi A4 B5,Гомель,1997,механика,1.6, бензин,465500,седан
https://cars.av.by/audi/a4/101371955,12004,4500,Audi A4 B5,Климовичи,1998,механика,1.9, дизель,300000,универсал
https://cars.av.by/audi/a4/101317926,24808,9300,Audi A4 B8,Марьина горка,2008,автомат,1.8, бензин,188000,седан
https://cars.av.by/audi/a4/101390505,20537,7699,Audi A4 B7,Минск,2008,автомат,2.0, бензин,206638,седан
https://cars.av.by/audi/a4/101300311,31210,11700,Audi A4 B8 · Рестайлинг,Минск,2012,автомат,1.8, бензин,182800,седан
https://cars.av.by/audi/a4/101370789,79758,29900,Audi A4 B9,Минск,2017,автомат,2.0, бензин,49100,седан
https://cars.av.by/audi/a4/101065889,31210,11700,Audi A4 B8,Витебск,2010,автомат,2.0, бензин,220000,седан
https://cars.av.by/audi/a4/101374244,79225,29700,Audi A4 B9,Брест,2018,автомат,2.0, бензин,97000,седан
https://cars.av.by/audi/a4/100944946,13871,5200,Audi A4 B6,Малорита,2001,автомат,2.0, бензин,295000,седан
https://cars.av.by/audi/a4/101304874,36011,13500,Audi A4 B8,Барановичи,2010,автомат,2.0, дизель,330000,универсал
https://cars.av.by/audi/a4/101343969,11737,4400,Audi A4 B6,Барановичи,2002,механика,1.8, бензин,460000,седан
https://cars.av.by/audi/a4/101066044,9336,3500,Audi A4 B5,Молодечно,1997,автомат,1.8, бензин (пропан-бутан),385000,универсал
https://cars.av.by/audi/a4/101112031,25341,9500,Audi A4 B8,Лунинец,2008,автомат,1.8, бензин,215600,седан
https://cars.av.by/audi/a4/101382644,11337,4250,Audi A4 B5,Минск,1997,механика,1.8, бензин,344080,седан
https://cars.av.by/audi/a4/101371627,36545,13700,Audi A4 B8 · Рестайлинг,Минск,2013,автомат,1.8, бензин,233000,седан
https://cars.av.by/audi/a4/101123690,20540,7700,Audi A4 B7,Минск,2005,автомат,2.0, бензин,325000,седан
https://cars.av.by/audi/a4/101160606,32010,12000,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,134000,седан
https://cars.av.by/audi/a4/101316600,16272,6100,Audi A4 B6,Полоцк,2001,механика,1.9, дизель,310000,седан
https://cars.av.by/audi/a4/101390659,24541,9200,Audi A4 B8,Гродно,2008,автомат,1.8, бензин,182000,седан
https://cars.av.by/audi/a4/101308758,11470,4300,Audi A4 B5,Лепель,1998,механика,1.8, бензин,440000,универсал
https://cars.av.by/audi/a4/101381432,43480,16300,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,215000,седан
https://cars.av.by/audi/a4/100651159,21340,8000,Audi A4 B8,Минск,2008,автомат,1.8, бензин,289000,универсал
https://cars.av.by/audi/a4/100828225,30676,11500,Audi A4 B8,Минск,2010,автомат,3.0, дизель,250000,седан
https://cars.av.by/audi/a4/101149797,20807,7800,Audi A4 B7,Дубровно,2007,автомат,2.0, дизель,210000,седан
https://cars.av.by/audi/a4/101390562,16272,6100,Audi A4 B6,Орша,2003,автомат,1.8, бензин,257000,седан
https://cars.av.by/audi/a4/101126263,7469,2800,Audi A4 B5,Гомель,1997,механика,1.6, бензин,465500,седан
https://cars.av.by/audi/a4/101371955,12004,4500,Audi A4 B5,Климовичи,1998,механика,1.9, дизель,300000,универсал
https://cars.av.by/audi/a4/101317926,24808,9300,Audi A4 B8,Марьина горка,2008,автомат,1.8, бензин,188000,седан
https://cars.av.by/audi/a4/101390505,20537,7699,Audi A4 B7,Минск,2008,автомат,2.0, бензин,206638,седан
https://cars.av.by/audi/a4/101300311,31210,11700,Audi A4 B8 · Рестайлинг,Минск,2012,автомат,1.8, бензин,182800,седан
https://cars.av.by/audi/a4/101370789,79758,29900,Audi A4 B9,Минск,2017,автомат,2.0, бензин,49100,седан
https://cars.av.by/audi/a4/101065889,31210,11700,Audi A4 B8,Витебск,2010,автомат,2.0, бензин,220000,седан
https://cars.av.by/audi/a4/101374244,79225,29700,Audi A4 B9,Брест,2018,автомат,2.0, бензин,97000,седан
https://cars.av.by/audi/a4/100944946,13871,5200,Audi A4 B6,Малорита,2001,автомат,2.0, бензин,295000,седан
https://cars.av.by/audi/a4/101304874,36011,13500,Audi A4 B8,Барановичи,2010,автомат,2.0, дизель,330000,универсал
https://cars.av.by/audi/a4/101343969,11737,4400,Audi A4 B6,Барановичи,2002,механика,1.8, бензин,460000,седан
https://cars.av.by/audi/a4/101066044,9336,3500,Audi A4 B5,Молодечно,1997,автомат,1.8, бензин (пропан-бутан),385000,универсал
https://cars.av.by/audi/a4/101112031,25341,9500,Audi A4 B8,Лунинец,2008,автомат,1.8, бензин,215600,седан
https://cars.av.by/audi/a4/101382644,11337,4250,Audi A4 B5,Минск,1997,механика,1.8, бензин,344080,седан
https://cars.av.by/audi/a4/101371627,36545,13700,Audi A4 B8 · Рестайлинг,Минск,2013,автомат,1.8, бензин,233000,седан
https://cars.av.by/audi/a4/101123690,20540,7700,Audi A4 B7,Минск,2005,автомат,2.0, бензин,325000,седан
https://cars.av.by/audi/a4/101160606,32010,12000,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,134000,седан
https://cars.av.by/audi/a4/101316600,16272,6100,Audi A4 B6,Полоцк,2001,механика,1.9, дизель,310000,седан
https://cars.av.by/audi/a4/101390659,24541,9200,Audi A4 B8,Гродно,2008,автомат,1.8, бензин,182000,седан
https://cars.av.by/audi/a4/101308758,11470,4300,Audi A4 B5,Лепель,1998,механика,1.8, бензин,440000,универсал
https://cars.av.by/audi/a4/101381432,43480,16300,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,215000,седан
https://cars.av.by/audi/a4/100651159,21340,8000,Audi A4 B8,Минск,2008,автомат,1.8, бензин,289000,универсал
https://cars.av.by/audi/a4/100828225,30676,11500,Audi A4 B8,Минск,2010,автомат,3.0, дизель,250000,седан
https://cars.av.by/audi/a4/101149797,20807,7800,Audi A4 B7,Дубровно,2007,автомат,2.0, дизель,210000,седан
https://cars.av.by/audi/a4/101390562,16272,6100,Audi A4 B6,Орша,2003,автомат,1.8, бензин,257000,седан
https://cars.av.by/audi/a4/101126263,7469,2800,Audi A4 B5,Гомель,1997,механика,1.6, бензин,465500,седан
https://cars.av.by/audi/a4/101371955,12004,4500,Audi A4 B5,Климовичи,1998,механика,1.9, дизель,300000,универсал
https://cars.av.by/audi/a4/101317926,24808,9300,Audi A4 B8,Марьина горка,2008,автомат,1.8, бензин,188000,седан
https://cars.av.by/audi/a4/101390505,20537,7699,Audi A4 B7,Минск,2008,автомат,2.0, бензин,206638,седан
https://cars.av.by/audi/a4/101300311,31210,11700,Audi A4 B8 · Рестайлинг,Минск,2012,автомат,1.8, бензин,182800,седан
https://cars.av.by/audi/a4/101370789,79758,29900,Audi A4 B9,Минск,2017,автомат,2.0, бензин,49100,седан
https://cars.av.by/audi/a4/101065889,31210,11700,Audi A4 B8,Витебск,2010,автомат,2.0, бензин,220000,седан
https://cars.av.by/audi/a4/101374244,79225,29700,Audi A4 B9,Брест,2018,автомат,2.0, бензин,97000,седан
https://cars.av.by/audi/a4/100944946,13871,5200,Audi A4 B6,Малорита,2001,автомат,2.0, бензин,295000,седан
https://cars.av.by/audi/a4/101304874,36011,13500,Audi A4 B8,Барановичи,2010,автомат,2.0, дизель,330000,универсал
https://cars.av.by/audi/a4/101343969,11737,4400,Audi A4 B6,Барановичи,2002,механика,1.8, бензин,460000,седан
https://cars.av.by/audi/a4/101066044,9336,3500,Audi A4 B5,Молодечно,1997,автомат,1.8, бензин (пропан-бутан),385000,универсал
https://cars.av.by/audi/a4/101112031,25341,9500,Audi A4 B8,Лунинец,2008,автомат,1.8, бензин,215600,седан
https://cars.av.by/audi/a4/101382644,11337,4250,Audi A4 B5,Минск,1997,механика,1.8, бензин,344080,седан
https://cars.av.by/audi/a4/101371627,36545,13700,Audi A4 B8 · Рестайлинг,Минск,2013,автомат,1.8, бензин,233000,седан
https://cars.av.by/audi/a4/101123690,20540,7700,Audi A4 B7,Минск,2005,автомат,2.0, бензин,325000,седан
https://cars.av.by/audi/a4/101160606,32010,12000,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,134000,седан
https://cars.av.by/audi/a4/101316600,16272,6100,Audi A4 B6,Полоцк,2001,механика,1.9, дизель,310000,седан
https://cars.av.by/audi/a4/101390659,24541,9200,Audi A4 B8,Гродно,2008,автомат,1.8, бензин,182000,седан
https://cars.av.by/audi/a4/101308758,11470,4300,Audi A4 B5,Лепель,1998,механика,1.8, бензин,440000,универсал
https://cars.av.by/audi/a4/101381432,43480,16300,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,215000,седан
https://cars.av.by/audi/a4/100651159,21340,8000,Audi A4 B8,Минск,2008,автомат,1.8, бензин,289000,универсал
https://cars.av.by/audi/a4/100828225,30676,11500,Audi A4 B8,Минск,2010,автомат,3.0, дизель,250000,седан
https://cars.av.by/audi/a4/101149797,20807,7800,Audi A4 B7,Дубровно,2007,автомат,2.0, дизель,210000,седан
https://cars.av.by/audi/a4/101390562,16272,6100,Audi A4 B6,Орша,2003,автомат,1.8, бензин,257000,седан
https://cars.av.by/audi/a4/101126263,7469,2800,Audi A4 B5,Гомель,1997,механика,1.6, бензин,465500,седан
https://cars.av.by/audi/a4/101371955,12004,4500,Audi A4 B5,Климовичи,1998,механика,1.9, дизель,300000,универсал
https://cars.av.by/audi/a4/101317926,24808,9300,Audi A4 B8,Марьина горка,2008,автомат,1.8, бензин,188000,седан
https://cars.av.by/audi/a4/101390505,20537,7699,Audi A4 B7,Минск,2008,автомат,2.0, бензин,206638,седан
https://cars.av.by/audi/a4/101300311,31210,11700,Audi A4 B8 · Рестайлинг,Минск,2012,автомат,1.8, бензин,182800,седан
https://cars.av.by/audi/a4/101370789,79758,29900,Audi A4 B9,Минск,2017,автомат,2.0, бензин,49100,седан
https://cars.av.by/audi/a4/101065889,31210,11700,Audi A4 B8,Витебск,2010,автомат,2.0, бензин,220000,седан
https://cars.av.by/audi/a4/101374244,79225,29700,Audi A4 B9,Брест,2018,автомат,2.0, бензин,97000,седан
https://cars.av.by/audi/a4/100944946,13871,5200,Audi A4 B6,Малорита,2001,автомат,2.0, бензин,295000,седан
https://cars.av.by/audi/a4/101304874,36011,13500,Audi A4 B8,Барановичи,2010,автомат,2.0, дизель,330000,универсал
https://cars.av.by/audi/a4/101343969,11737,4400,Audi A4 B6,Барановичи,2002,механика,1.8, бензин,460000,седан
https://cars.av.by/audi/a4/101066044,9336,3500,Audi A4 B5,Молодечно,1997,автомат,1.8, бензин (пропан-бутан),385000,универсал
https://cars.av.by/audi/a4/101112031,25341,9500,Audi A4 B8,Лунинец,2008,автомат,1.8, бензин,215600,седан
https://cars.av.by/audi/a4/101382644,11337,4250,Audi A4 B5,Минск,1997,механика,1.8, бензин,344080,седан
https://cars.av.by/audi/a4/101371627,36545,13700,Audi A4 B8 · Рестайлинг,Минск,2013,автомат,1.8, бензин,233000,седан
https://cars.av.by/audi/a4/101123690,20540,7700,Audi A4 B7,Минск,2005,автомат,2.0, бензин,325000,седан
https://cars.av.by/audi/a4/101160606,32010,12000,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,134000,седан
https://cars.av.by/audi/a4/101316600,16272,6100,Audi A4 B6,Полоцк,2001,механика,1.9, дизель,310000,седан
https://cars.av.by/audi/a4/101390659,24541,9200,Audi A4 B8,Гродно,2008,автомат,1.8, бензин,182000,седан
https://cars.av.by/audi/a4/101308758,11470,4300,Audi A4 B5,Лепель,1998,механика,1.8, бензин,440000,универсал
https://cars.av.by/audi/a4/101381432,43480,16300,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,215000,седан
https://cars.av.by/audi/a4/100651159,21340,8000,Audi A4 B8,Минск,2008,автомат,1.8, бензин,289000,универсал
https://cars.av.by/audi/a4/100828225,30676,11500,Audi A4 B8,Минск,2010,автомат,3.0, дизель,250000,седан
https://cars.av.by/audi/a4/101149797,20807,7800,Audi A4 B7,Дубровно,2007,автомат,2.0, дизель,210000,седан
https://cars.av.by/audi/a4/101390562,16272,6100,Audi A4 B6,Орша,2003,автомат,1.8, бензин,257000,седан
https://cars.av.by/audi/a4/101126263,7469,2800,Audi A4 B5,Гомель,1997,механика,1.6, бензин,465500,седан
https://cars.av.by/audi/a4/101371955,12004,4500,Audi A4 B5,Климовичи,1998,механика,1.9, дизель,300000,универсал
https://cars.av.by/audi/a4/101317926,24808,9300,Audi A4 B8,Марьина горка,2008,автомат,1.8, бензин,188000,седан
https://cars.av.by/audi/a4/101390505,20537,7699,Audi A4 B7,Минск,2008,автомат,2.0, бензин,206638,седан
https://cars.av.by/audi/a4/101300311,31210,11700,Audi A4 B8 · Рестайлинг,Минск,2012,автомат,1.8, бензин,182800,седан
https://cars.av.by/audi/a4/101370789,79758,29900,Audi A4 B9,Минск,2017,автомат,2.0, бензин,49100,седан
https://cars.av.by/audi/a4/101065889,31210,11700,Audi A4 B8,Витебск,2010,автомат,2.0, бензин,220000,седан
https://cars.av.by/audi/a4/101374244,79225,29700,Audi A4 B9,Брест,2018,автомат,2.0, бензин,97000,седан
https://cars.av.by/audi/a4/100944946,13871,5200,Audi A4 B6,Малорита,2001,автомат,2.0, бензин,295000,седан
https://cars.av.by/audi/a4/101304874,36011,13500,Audi A4 B8,Барановичи,2010,автомат,2.0, дизель,330000,универсал
https://cars.av.by/audi/a4/101343969,11737,4400,Audi A4 B6,Барановичи,2002,механика,1.8, бензин,460000,седан
https://cars.av.by/audi/a4/101066044,9336,3500,Audi A4 B5,Молодечно,1997,автомат,1.8, бензин (пропан-бутан),385000,универсал
https://cars.av.by/audi/a4/101112031,25341,9500,Audi A4 B8,Лунинец,2008,автомат,1.8, бензин,215600,седан
https://cars.av.by/audi/a4/101382644,11337,4250,Audi A4 B5,Минск,1997,механика,1.8, бензин,344080,седан
https://cars.av.by/audi/a4/101371627,36545,13700,Audi A4 B8 · Рестайлинг,Минск,2013,автомат,1.8, бензин,233000,седан
https://cars.av.by/audi/a4/101123690,20540,7700,Audi A4 B7,Минск,2005,автомат,2.0, бензин,325000,седан
https://cars.av.by/audi/a4/101160606,32010,12000,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,134000,седан
https://cars.av.by/audi/a4/101316600,16272,6100,Audi A4 B6,Полоцк,2001,механика,1.9, дизель,310000,седан
https://cars.av.by/audi/a4/101390659,24541,9200,Audi A4 B8,Гродно,2008,автомат,1.8, бензин,182000,седан
https://cars.av.by/audi/a4/101308758,11470,4300,Audi A4 B5,Лепель,1998,механика,1.8, бензин,440000,универсал
https://cars.av.by/audi/a4/101381432,43480,16300,Audi A4 B8 · Рестайлинг,Минск,2012,механика,1.8, бензин,215000,седан
https://cars.av.by/audi/a4/100651159,21340,8000,Audi A4 B8,Минск,2008,автомат,1.8, бензин,289000,универсал
https://cars.av.by/audi/a4/100828225,30676,11500,Audi A4 B8,Минск,2010,автомат,3.0, дизель,250000,седан
https://cars.av.by/audi/a4/101149797,20807,7800,Audi A4 B7,Дубровно,2007,автомат,2.0, дизель,210000,седан
https://cars.av.by/audi/a4/101390562,16272,6100,Audi A4 B6,Орша,2003,автомат,1.8, бензин,257000,седан
https://cars.av.by/audi/a4/101126263,7469,2800,Audi A4 B5,Гомель,1997,механика,1.6, бензин,465500,седан
https://cars.av.by/audi/a4/101371955,12004,4500,Audi A4 B5,Климовичи,1998,механика,1.9, дизель,300000,универсал
https://cars.av.by/audi/a4/101317926,24808,9300,Audi A4 B8,Марьина горка,2008,автомат,1.8, бензин,188000,седан
https://cars.av.by/audi/a4/101390505,20537,7699,Audi A4 B7,Минск,2008,автомат,2.0, бензин,206638,седан
https://cars.av.by/audi/a4/101300311,31210,11700,Audi A4 B8 · Рестайлинг,Минск,2012,автомат,1.8, бензин,182800,седан
https://cars.av.by/audi/a4/101370789,79758,29900,Audi A4 B9,Минск,2017,автомат,2.0, бензин,49100,седан
https://cars.av.by/audi/a4/101065889,31210,11700,Audi A4 B8,Витебск,2010,автомат,2.0, бензин,220000,седан
https://cars.av.by/audi/a4/101374244,79225,29700,Audi A4 B9,Брест,2018,автомат,2.0, бензин,97000,седан
https://cars.av.by/audi/a4/100944946,13871,5200,Audi A4 B6,Малорита,2001,автомат,2.0, бензин,295000,седан
https://cars.av.by/audi/a4/101304874,36011,13500,Audi A4 B8,Барановичи,2010,автомат,2.0, дизель,330000,универсал
https://cars.av.by/audi/a4/101343969,11737,4400,Audi A4 B6,Барановичи,2002,механика,1.8, бензин,460000,седан
https://cars.av.by/audi/a4/101066044,9336,3500,Audi A4 B5,Молодечно,1997,автомат,1.8, бензин (пропан-бутан),385000,универсал
