Link,Price_BYN,Price_USD,Model,City,Year,Type_transmission,Vol_drive,Type_fuel,Km,Type_car
https://cars.av.by/volkswagen/jetta/101285588,12004,4500,Volkswagen Jetta IV,Микашевичи,2001,автомат,1.9, дизель,431500,седан
https://cars.av.by/volkswagen/jetta/101385796,52016,19500,Volkswagen Jetta VII,Витебск,2019,автомат,1.4, бензин,71000,седан
https://cars.av.by/volkswagen/jetta/101176248,32277,12100,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,80467,седан
https://cars.av.by/volkswagen/jetta/100850236,43480,16300,Volkswagen Jetta VII,Минск,2019,автомат,1.4, бензин,88300,седан
https://cars.av.by/volkswagen/jetta/101313438,13204,4950,Volkswagen Jetta V,Минск,2006,автомат,1.6, бензин,262000,седан
https://cars.av.by/volkswagen/jetta/101378221,2534,950,Volkswagen Jetta II,Гомель,1986,механика,1.6, бензин,343324,седан
https://cars.av.by/volkswagen/jetta/100798251,25605,9599,Volkswagen Jetta VI · Рестайлинг,Барановичи,2015,автомат,1.6, бензин,230000,седан
https://cars.av.by/volkswagen/jetta/100877545,47748,17900,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,64000,седан
https://cars.av.by/volkswagen/jetta/100371703,34411,12900,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,126200,седан
https://cars.av.by/volkswagen/jetta/101322997,41346,15500,Volkswagen Jetta VI · Рестайлинг,Могилев,2017,автомат,1.4, бензин,77000,седан
https://cars.av.by/volkswagen/jetta/101321625,21874,8200,Volkswagen Jetta VI,Минск,2011,автомат,2.0, бензин,263932,седан
https://cars.av.by/volkswagen/jetta/101352660,45348,17000,Volkswagen Jetta VII,Малорита,2018,автомат,1.4, бензин,95243,седан
https://cars.av.by/volkswagen/jetta/101382364,3735,1400,Volkswagen Jetta II,Гродно,1984,автомат,1.8, бензин (пропан-бутан),399000,седан
https://cars.av.by/volkswagen/jetta/100832091,36011,13500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,95000,седан
https://cars.av.by/volkswagen/jetta/101378545,2267,850,Volkswagen Jetta II,Пинск,1986,механика,1.8, бензин (пропан-бутан),300000,седан
https://cars.av.by/volkswagen/jetta/101178426,2934,1100,Volkswagen Jetta II,Витебск,1985,механика,1.6, бензин,366024,седан
https://cars.av.by/volkswagen/jetta/101388551,38679,14500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,128747,седан
https://cars.av.by/volkswagen/jetta/101243232,36812,13800,Volkswagen Jetta VI · Рестайлинг,Гродно,2017,автомат,1.4, бензин,25000,седан
https://cars.av.by/volkswagen/jetta/101322355,43214,16200,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,118000,седан
https://cars.av.by/volkswagen/jetta/101371742,40813,15300,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,62000,седан
https://cars.av.by/volkswagen/jetta/101379004,15071,5650,Volkswagen Jetta V,Сморгонь,2006,автомат,1.9, дизель,286000,седан
https://cars.av.by/volkswagen/jetta/101322049,60019,22500,Volkswagen Jetta VII,Могилев,2018,механика,1.4, бензин,31087,седан
https://cars.av.by/volkswagen/jetta/101390734,2401,900,Volkswagen Jetta II,Мозырь,1984,механика,1.6, бензин,350000,седан
https://cars.av.by/volkswagen/jetta/101321544,1601,600,Volkswagen Jetta II,Витебск,1984,механика,1.6, бензин,300000,седан
https://cars.av.by/volkswagen/jetta/101386187,60019,22500,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,69000,седан
https://cars.av.by/volkswagen/jetta/101285588,12004,4500,Volkswagen Jetta IV,Микашевичи,2001,автомат,1.9, дизель,431500,седан
https://cars.av.by/volkswagen/jetta/101385796,52016,19500,Volkswagen Jetta VII,Витебск,2019,автомат,1.4, бензин,71000,седан
https://cars.av.by/volkswagen/jetta/101176248,32277,12100,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,80467,седан
https://cars.av.by/volkswagen/jetta/100850236,43480,16300,Volkswagen Jetta VII,Минск,2019,автомат,1.4, бензин,88300,седан
https://cars.av.by/volkswagen/jetta/101313438,13204,4950,Volkswagen Jetta V,Минск,2006,автомат,1.6, бензин,262000,седан
https://cars.av.by/volkswagen/jetta/101378221,2534,950,Volkswagen Jetta II,Гомель,1986,механика,1.6, бензин,343324,седан
https://cars.av.by/volkswagen/jetta/100798251,25605,9599,Volkswagen Jetta VI · Рестайлинг,Барановичи,2015,автомат,1.6, бензин,230000,седан
https://cars.av.by/volkswagen/jetta/100877545,47748,17900,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,64000,седан
https://cars.av.by/volkswagen/jetta/100371703,34411,12900,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,126200,седан
https://cars.av.by/volkswagen/jetta/101322997,41346,15500,Volkswagen Jetta VI · Рестайлинг,Могилев,2017,автомат,1.4, бензин,77000,седан
https://cars.av.by/volkswagen/jetta/101321625,21874,8200,Volkswagen Jetta VI,Минск,2011,автомат,2.0, бензин,263932,седан
https://cars.av.by/volkswagen/jetta/101352660,45348,17000,Volkswagen Jetta VII,Малорита,2018,автомат,1.4, бензин,95243,седан
https://cars.av.by/volkswagen/jetta/101382364,3735,1400,Volkswagen Jetta II,Гродно,1984,автомат,1.8, бензин (пропан-бутан),399000,седан
https://cars.av.by/volkswagen/jetta/100832091,36011,13500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,95000,седан
https://cars.av.by/volkswagen/jetta/101378545,2267,850,Volkswagen Jetta II,Пинск,1986,механика,1.8, бензин (пропан-бутан),300000,седан
https://cars.av.by/volkswagen/jetta/101178426,2934,1100,Volkswagen Jetta II,Витебск,1985,механика,1.6, бензин,366024,седан
https://cars.av.by/volkswagen/jetta/101388551,38679,14500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,128747,седан
https://cars.av.by/volkswagen/jetta/101243232,36812,13800,Volkswagen Jetta VI · Рестайлинг,Гродно,2017,автомат,1.4, бензин,25000,седан
https://cars.av.by/volkswagen/jetta/101322355,43214,16200,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,118000,седан
https://cars.av.by/volkswagen/jetta/101371742,40813,15300,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,62000,седан
https://cars.av.by/volkswagen/jetta/101379004,15071,5650,Volkswagen Jetta V,Сморгонь,2006,автомат,1.9, дизель,286000,седан
https://cars.av.by/volkswagen/jetta/101322049,60019,22500,Volkswagen Jetta VII,Могилев,2018,механика,1.4, бензин,31087,седан
https://cars.av.by/volkswagen/jetta/101390734,2401,900,Volkswagen Jetta II,Мозырь,1984,механика,1.6, бензин,350000,седан
https://cars.av.by/volkswagen/jetta/101321544,1601,600,Volkswagen Jetta II,Витебск,1984,механика,1.6, бензин,300000,седан
https://cars.av.by/volkswagen/jetta/101386187,60019,22500,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,69000,седан
https://cars.av.by/volkswagen/jetta/101285588,12004,4500,Volkswagen Jetta IV,Микашевичи,2001,автомат,1.9, дизель,431500,седан
https://cars.av.by/volkswagen/jetta/101385796,52016,19500,Volkswagen Jetta VII,Витебск,2019,автомат,1.4, бензин,71000,седан
https://cars.av.by/volkswagen/jetta/101176248,32277,12100,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,80467,седан
https://cars.av.by/volkswagen/jetta/100850236,43480,16300,Volkswagen Jetta VII,Минск,2019,автомат,1.4, бензин,88300,седан
https://cars.av.by/volkswagen/jetta/101313438,13204,4950,Volkswagen Jetta V,Минск,2006,автомат,1.6, бензин,262000,седан
https://cars.av.by/volkswagen/jetta/101378221,2534,950,Volkswagen Jetta II,Гомель,1986,механика,1.6, бензин,343324,седан
https://cars.av.by/volkswagen/jetta/100798251,25605,9599,Volkswagen Jetta VI · Рестайлинг,Барановичи,2015,автомат,1.6, бензин,230000,седан
https://cars.av.by/volkswagen/jetta/100877545,47748,17900,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,64000,седан
https://cars.av.by/volkswagen/jetta/100371703,34411,12900,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,126200,седан
https://cars.av.by/volkswagen/jetta/101322997,41346,15500,Volkswagen Jetta VI · Рестайлинг,Могилев,2017,автомат,1.4, бензин,77000,седан
https://cars.av.by/volkswagen/jetta/101321625,21874,8200,Volkswagen Jetta VI,Минск,2011,автомат,2.0, бензин,263932,седан
https://cars.av.by/volkswagen/jetta/101352660,45348,17000,Volkswagen Jetta VII,Малорита,2018,автомат,1.4, бензин,95243,седан
https://cars.av.by/volkswagen/jetta/101382364,3735,1400,Volkswagen Jetta II,Гродно,1984,автомат,1.8, бензин (пропан-бутан),399000,седан
https://cars.av.by/volkswagen/jetta/100832091,36011,13500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,95000,седан
https://cars.av.by/volkswagen/jetta/101378545,2267,850,Volkswagen Jetta II,Пинск,1986,механика,1.8, бензин (пропан-бутан),300000,седан
https://cars.av.by/volkswagen/jetta/101178426,2934,1100,Volkswagen Jetta II,Витебск,1985,механика,1.6, бензин,366024,седан
https://cars.av.by/volkswagen/jetta/101388551,38679,14500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,128747,седан
https://cars.av.by/volkswagen/jetta/101243232,36812,13800,Volkswagen Jetta VI · Рестайлинг,Гродно,2017,автомат,1.4, бензин,25000,седан
https://cars.av.by/volkswagen/jetta/101322355,43214,16200,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,118000,седан
https://cars.av.by/volkswagen/jetta/101371742,40813,15300,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,62000,седан
https://cars.av.by/volkswagen/jetta/101379004,15071,5650,Volkswagen Jetta V,Сморгонь,2006,автомат,1.9, дизель,286000,седан
https://cars.av.by/volkswagen/jetta/101322049,60019,22500,Volkswagen Jetta VII,Могилев,2018,механика,1.4, бензин,31087,седан
https://cars.av.by/volkswagen/jetta/101390734,2401,900,Volkswagen Jetta II,Мозырь,1984,механика,1.6, бензин,350000,седан
https://cars.av.by/volkswagen/jetta/101321544,1601,600,Volkswagen Jetta II,Витебск,1984,механика,1.6, бензин,300000,седан
https://cars.av.by/volkswagen/jetta/101386187,60019,22500,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,69000,седан
https://cars.av.by/volkswagen/jetta/101285588,12004,4500,Volkswagen Jetta IV,Микашевичи,2001,автомат,1.9, дизель,431500,седан
https://cars.av.by/volkswagen/jetta/101385796,52016,19500,Volkswagen Jetta VII,Витебск,2019,автомат,1.4, бензин,71000,седан
https://cars.av.by/volkswagen/jetta/101176248,32277,12100,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,80467,седан
https://cars.av.by/volkswagen/jetta/100850236,43480,16300,Volkswagen Jetta VII,Минск,2019,автомат,1.4, бензин,88300,седан
https://cars.av.by/volkswagen/jetta/101313438,13204,4950,Volkswagen Jetta V,Минск,2006,автомат,1.6, бензин,262000,седан
https://cars.av.by/volkswagen/jetta/101378221,2534,950,Volkswagen Jetta II,Гомель,1986,механика,1.6, бензин,343324,седан
https://cars.av.by/volkswagen/jetta/100798251,25605,9599,Volkswagen Jetta VI · Рестайлинг,Барановичи,2015,автомат,1.6, бензин,230000,седан
https://cars.av.by/volkswagen/jetta/100877545,47748,17900,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,64000,седан
https://cars.av.by/volkswagen/jetta/100371703,34411,12900,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,126200,седан
https://cars.av.by/volkswagen/jetta/101322997,41346,15500,Volkswagen Jetta VI · Рестайлинг,Могилев,2017,автомат,1.4, бензин,77000,седан
https://cars.av.by/volkswagen/jetta/101321625,21874,8200,Volkswagen Jetta VI,Минск,2011,автомат,2.0, бензин,263932,седан
https://cars.av.by/volkswagen/jetta/101352660,45348,17000,Volkswagen Jetta VII,Малорита,2018,автомат,1.4, бензин,95243,седан
https://cars.av.by/volkswagen/jetta/101382364,3735,1400,Volkswagen Jetta II,Гродно,1984,автомат,1.8, бензин (пропан-бутан),399000,седан
https://cars.av.by/volkswagen/jetta/100832091,36011,13500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,95000,седан
https://cars.av.by/volkswagen/jetta/101378545,2267,850,Volkswagen Jetta II,Пинск,1986,механика,1.8, бензин (пропан-бутан),300000,седан
https://cars.av.by/volkswagen/jetta/101178426,2934,1100,Volkswagen Jetta II,Витебск,1985,механика,1.6, бензин,366024,седан
https://cars.av.by/volkswagen/jetta/101388551,38679,14500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,128747,седан
https://cars.av.by/volkswagen/jetta/101243232,36812,13800,Volkswagen Jetta VI · Рестайлинг,Гродно,2017,автомат,1.4, бензин,25000,седан
https://cars.av.by/volkswagen/jetta/101322355,43214,16200,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,118000,седан
https://cars.av.by/volkswagen/jetta/101371742,40813,15300,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,62000,седан
https://cars.av.by/volkswagen/jetta/101379004,15071,5650,Volkswagen Jetta V,Сморгонь,2006,автомат,1.9, дизель,286000,седан
https://cars.av.by/volkswagen/jetta/101322049,60019,22500,Volkswagen Jetta VII,Могилев,2018,механика,1.4, бензин,31087,седан
https://cars.av.by/volkswagen/jetta/101390734,2401,900,Volkswagen Jetta II,Мозырь,1984,механика,1.6, бензин,350000,седан
https://cars.av.by/volkswagen/jetta/101321544,1601,600,Volkswagen Jetta II,Витебск,1984,механика,1.6, бензин,300000,седан
https://cars.av.by/volkswagen/jetta/101386187,60019,22500,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,69000,седан
https://cars.av.by/volkswagen/jetta/101285588,12004,4500,Volkswagen Jetta IV,Микашевичи,2001,автомат,1.9, дизель,431500,седан
https://cars.av.by/volkswagen/jetta/101385796,52016,19500,Volkswagen Jetta VII,Витебск,2019,автомат,1.4, бензин,71000,седан
https://cars.av.by/volkswagen/jetta/101176248,32277,12100,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,80467,седан
https://cars.av.by/volkswagen/jetta/100850236,43480,16300,Volkswagen Jetta VII,Минск,2019,автомат,1.4, бензин,88300,седан
https://cars.av.by/volkswagen/jetta/101313438,13204,4950,Volkswagen Jetta V,Минск,2006,автомат,1.6, бензин,262000,седан
https://cars.av.by/volkswagen/jetta/101378221,2534,950,Volkswagen Jetta II,Гомель,1986,механика,1.6, бензин,343324,седан
https://cars.av.by/volkswagen/jetta/100798251,25605,9599,Volkswagen Jetta VI · Рестайлинг,Барановичи,2015,автомат,1.6, бензин,230000,седан
https://cars.av.by/volkswagen/jetta/100877545,47748,17900,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,64000,седан
https://cars.av.by/volkswagen/jetta/100371703,34411,12900,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,126200,седан
https://cars.av.by/volkswagen/jetta/101322997,41346,15500,Volkswagen Jetta VI · Рестайлинг,Могилев,2017,автомат,1.4, бензин,77000,седан
https://cars.av.by/volkswagen/jetta/101321625,21874,8200,Volkswagen Jetta VI,Минск,2011,автомат,2.0, бензин,263932,седан
https://cars.av.by/volkswagen/jetta/101352660,45348,17000,Volkswagen Jetta VII,Малорита,2018,автомат,1.4, бензин,95243,седан
https://cars.av.by/volkswagen/jetta/101382364,3735,1400,Volkswagen Jetta II,Гродно,1984,автомат,1.8, бензин (пропан-бутан),399000,седан
https://cars.av.by/volkswagen/jetta/100832091,36011,13500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,95000,седан
https://cars.av.by/volkswagen/jetta/101378545,2267,850,Volkswagen Jetta II,Пинск,1986,механика,1.8, бензин (пропан-бутан),300000,седан
https://cars.av.by/volkswagen/jetta/101178426,2934,1100,Volkswagen Jetta II,Витебск,1985,механика,1.6, бензин,366024,седан
https://cars.av.by/volkswagen/jetta/101388551,38679,14500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,128747,седан
https://cars.av.by/volkswagen/jetta/101243232,36812,13800,Volkswagen Jetta VI · Рестайлинг,Гродно,2017,автомат,1.4, бензин,25000,седан
https://cars.av.by/volkswagen/jetta/101322355,43214,16200,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,118000,седан
https://cars.av.by/volkswagen/jetta/101371742,40813,15300,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,62000,седан
https://cars.av.by/volkswagen/jetta/101379004,15071,5650,Volkswagen Jetta V,Сморгонь,2006,автомат,1.9, дизель,286000,седан
https://cars.av.by/volkswagen/jetta/101322049,60019,22500,Volkswagen Jetta VII,Могилев,2018,механика,1.4, бензин,31087,седан
https://cars.av.by/volkswagen/jetta/101390734,2401,900,Volkswagen Jetta II,Мозырь,1984,механика,1.6, бензин,350000,седан
https://cars.av.by/volkswagen/jetta/101321544,1601,600,Volkswagen Jetta II,Витебск,1984,механика,1.6, бензин,300000,седан
https://cars.av.by/volkswagen/jetta/101386187,60019,22500,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,69000,седан
https://cars.av.by/volkswagen/jetta/101285588,12004,4500,Volkswagen Jetta IV,Микашевичи,2001,автомат,1.9, дизель,431500,седан
https://cars.av.by/volkswagen/jetta/101385796,52016,19500,Volkswagen Jetta VII,Витебск,2019,автомат,1.4, бензин,71000,седан
https://cars.av.by/volkswagen/jetta/101176248,32277,12100,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,80467,седан
https://cars.av.by/volkswagen/jetta/100850236,43480,16300,Volkswagen Jetta VII,Минск,2019,автомат,1.4, бензин,88300,седан
https://cars.av.by/volkswagen/jetta/101313438,13204,4950,Volkswagen Jetta V,Минск,2006,автомат,1.6, бензин,262000,седан
https://cars.av.by/volkswagen/jetta/101378221,2534,950,Volkswagen Jetta II,Гомель,1986,механика,1.6, бензин,343324,седан
https://cars.av.by/volkswagen/jetta/100798251,25605,9599,Volkswagen Jetta VI · Рестайлинг,Барановичи,2015,автомат,1.6, бензин,230000,седан
https://cars.av.by/volkswagen/jetta/100877545,47748,17900,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,64000,седан
https://cars.av.by/volkswagen/jetta/100371703,34411,12900,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,126200,седан
https://cars.av.by/volkswagen/jetta/101322997,41346,15500,Volkswagen Jetta VI · Рестайлинг,Могилев,2017,автомат,1.4, бензин,77000,седан
https://cars.av.by/volkswagen/jetta/101321625,21874,8200,Volkswagen Jetta VI,Минск,2011,автомат,2.0, бензин,263932,седан
https://cars.av.by/volkswagen/jetta/101352660,45348,17000,Volkswagen Jetta VII,Малорита,2018,автомат,1.4, бензин,95243,седан
https://cars.av.by/volkswagen/jetta/101382364,3735,1400,Volkswagen Jetta II,Гродно,1984,автомат,1.8, бензин (пропан-бутан),399000,седан
https://cars.av.by/volkswagen/jetta/100832091,36011,13500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,95000,седан
https://cars.av.by/volkswagen/jetta/101378545,2267,850,Volkswagen Jetta II,Пинск,1986,механика,1.8, бензин (пропан-бутан),300000,седан
https://cars.av.by/volkswagen/jetta/101178426,2934,1100,Volkswagen Jetta II,Витебск,1985,механика,1.6, бензин,366024,седан
https://cars.av.by/volkswagen/jetta/101388551,38679,14500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,128747,седан
https://cars.av.by/volkswagen/jetta/101243232,36812,13800,Volkswagen Jetta VI · Рестайлинг,Гродно,2017,автомат,1.4, бензин,25000,седан
https://cars.av.by/volkswagen/jetta/101322355,43214,16200,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,118000,седан
https://cars.av.by/volkswagen/jetta/101371742,40813,15300,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,62000,седан
https://cars.av.by/volkswagen/jetta/101379004,15071,5650,Volkswagen Jetta V,Сморгонь,2006,автомат,1.9, дизель,286000,седан
https://cars.av.by/volkswagen/jetta/101322049,60019,22500,Volkswagen Jetta VII,Могилев,2018,механика,1.4, бензин,31087,седан
https://cars.av.by/volkswagen/jetta/101390734,2401,900,Volkswagen Jetta II,Мозырь,1984,механика,1.6, бензин,350000,седан
https://cars.av.by/volkswagen/jetta/101321544,1601,600,Volkswagen Jetta II,Витебск,1984,механика,1.6, бензин,300000,седан
https://cars.av.by/volkswagen/jetta/101386187,60019,22500,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,69000,седан
https://cars.av.by/volkswagen/jetta/101285588,12004,4500,Volkswagen Jetta IV,Микашевичи,2001,автомат,1.9, дизель,431500,седан
https://cars.av.by/volkswagen/jetta/101385796,52016,19500,Volkswagen Jetta VII,Витебск,2019,автомат,1.4, бензин,71000,седан
https://cars.av.by/volkswagen/jetta/101176248,32277,12100,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,80467,седан
https://cars.av.by/volkswagen/jetta/100850236,43480,16300,Volkswagen Jetta VII,Минск,2019,автомат,1.4, бензин,88300,седан
https://cars.av.by/volkswagen/jetta/101313438,13204,4950,Volkswagen Jetta V,Минск,2006,автомат,1.6, бензин,262000,седан
https://cars.av.by/volkswagen/jetta/101378221,2534,950,Volkswagen Jetta II,Гомель,1986,механика,1.6, бензин,343324,седан
https://cars.av.by/volkswagen/jetta/100798251,25605,9599,Volkswagen Jetta VI · Рестайлинг,Барановичи,2015,автомат,1.6, бензин,230000,седан
https://cars.av.by/volkswagen/jetta/100877545,47748,17900,Volkswagen Jetta VII,Минск,2018,автомат,1.4, бензин,64000,седан
https://cars.av.by/volkswagen/jetta/100371703,34411,12900,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,126200,седан
https://cars.av.by/volkswagen/jetta/101322997,41346,15500,Volkswagen Jetta VI · Рестайлинг,Могилев,2017,автомат,1.4, бензин,77000,седан
https://cars.av.by/volkswagen/jetta/101321625,21874,8200,Volkswagen Jetta VI,Минск,2011,автомат,2.0, бензин,263932,седан
https://cars.av.by/volkswagen/jetta/101352660,45348,17000,Volkswagen Jetta VII,Малорита,2018,автомат,1.4, бензин,95243,седан
https://cars.av.by/volkswagen/jetta/101382364,3735,1400,Volkswagen Jetta II,Гродно,1984,автомат,1.8, бензин (пропан-бутан),399000,седан
https://cars.av.by/volkswagen/jetta/100832091,36011,13500,Volkswagen Jetta VI · Рестайлинг,Минск,2017,автомат,1.4, бензин,95000,седан
https://cars.av.by/volkswagen/jetta/101378545,2267,850,Volkswagen Jetta II,Пинск,1986,механика,1.8, бензин (пропан-бутан),300000,седан
https://cars.av.by/volkswagen/jetta/101178426,2934,1100,Volkswagen Jetta II,Витебск,1985,механика,1.6, бензин,366024,седан
